con,hip1,hip2,hip3,angle1,angle2,angle3
Sct,91117.0,92175.0,92202.0,9.831611767426429,44.790253413228015,125.40523696150888
Sct,90595.0,92175.0,92202.0,2.658616340934916,28.52306136770601,148.86151607962677
Sct,92814.0,92175.0,92202.0,0.4770530371517648,4.976081665120062,174.55488890991637
Sct,90595.0,92202.0,91117.0,14.09303929274589,23.45627911809911,142.5875548031709
Sct,92814.0,92202.0,91117.0,23.14044253590776,60.03987412882704,97.1215916026713
Sct,92202.0,92814.0,90595.0,36.58359501072469,70.91983528618356,73.01566575074422
Sct,90595.0,92175.0,91117.0,11.434422951807736,16.26719204550126,152.41916657060074
Sct,92814.0,92175.0,91117.0,23.61749557308845,49.76633507858086,106.95320337010196
Sct,92175.0,92814.0,90595.0,33.49914303307736,71.39688832336357,75.67428209168256
Sct,91117.0,92814.0,90595.0,45.46596320049525,47.77939275027468,87.10870504349285
CrA,92989.0,90887.0,91875.0,6.224948338793889,6.497060378703869,167.29169014249527
CrA,93174.0,90887.0,91875.0,5.203960006237114,6.36428489985712,168.4463661534354
CrA,93825.0,90887.0,91875.0,6.758077802405359,12.077624861751564,161.1985420079938
CrA,94114.0,90887.0,91875.0,10.13818021829558,19.9419700932292,149.97780176049062
CrA,94160.0,90887.0,91875.0,15.042263006500033,31.120286441923668,133.9231888250669
CrA,94005.0,90887.0,91875.0,18.979495509393946,40.43275050685023,120.69023901819727
CrA,93542.0,90887.0,91875.0,24.226625780365698,55.82468610178579,100.0672896937223
CrA,92953.0,90887.0,91875.0,28.788323055059863,66.66704005225287,84.6580020764338
CrA,91875.0,90887.0,90887.0,2.173352885506333e-05,89.99999063905855,89.99999063905855
CrA,92989.0,90887.0,91875.0,6.224948338793889,6.497060378703869,167.29169014249527
CrA,93174.0,90887.0,91875.0,5.203960006237114,6.36428489985712,168.4463661534354
CrA,93825.0,90887.0,91875.0,6.758077802405359,12.077624861751564,161.1985420079938
CrA,94114.0,90887.0,91875.0,10.13818021829558,19.9419700932292,149.97780176049062
CrA,94160.0,90887.0,91875.0,15.042263006500033,31.120286441923668,133.9231888250669
CrA,94005.0,90887.0,91875.0,18.979495509393946,40.43275050685023,120.69023901819727
CrA,93542.0,90887.0,91875.0,24.226625780365698,55.82468610178579,100.0672896937223
CrA,92953.0,90887.0,91875.0,28.788323055059863,66.66704005225287,84.6580020764338
CrA,90887.0,93174.0,92989.0,0.1327754791128418,1.4943252115076462,178.37351928005342
CrA,90887.0,93825.0,92989.0,5.580564483030011,15.250498215491248,159.2012313644934
CrA,90887.0,94114.0,92989.0,13.444909714512066,28.364914955223924,138.27033379765422
CrA,90887.0,94160.0,92989.0,24.623226063206523,42.14975715310642,113.3672709507763
CrA,90887.0,94005.0,92989.0,33.93569012812993,49.66196601248396,96.58138148873726
CrA,90887.0,93542.0,92989.0,49.32762572306777,55.06472114981576,75.82838933041918
CrA,92953.0,90887.0,92989.0,59.08545233661072,60.1699796735334,60.96207035421913
CrA,92989.0,90887.0,90887.0,1.006584283732318e-05,89.99999538597929,89.99999538597929
CrA,92989.0,90887.0,91875.0,6.224948338793889,6.497060378703869,167.29169014249527
CrA,90887.0,93174.0,92989.0,0.1327754791128418,1.4943252115076462,178.37351928005342
CrA,90887.0,93825.0,92989.0,5.580564483030011,15.250498215491248,159.2012313644934
CrA,90887.0,94114.0,92989.0,13.444909714512066,28.364914955223924,138.27033379765422
CrA,90887.0,94160.0,92989.0,24.623226063206523,42.14975715310642,113.3672709507763
CrA,90887.0,94005.0,92989.0,33.93569012812993,49.66196601248396,96.58138148873726
CrA,90887.0,93542.0,92989.0,49.32762572306777,55.06472114981576,75.82838933041918
CrA,92953.0,90887.0,92989.0,59.08545233661072,60.1699796735334,60.96207035421913
CrA,90887.0,93825.0,93174.0,5.713339961917559,21.973127415043983,152.34952065444065
CrA,90887.0,94114.0,93174.0,13.577685193390844,36.53667378615156,129.97374453427403
CrA,90887.0,94160.0,93174.0,24.75600154208225,50.14073450889968,105.25671530529416
CrA,90887.0,94005.0,93174.0,34.06846560700598,56.626695285049,89.50041524557912
CrA,90887.0,93542.0,93174.0,49.460401201942645,60.21198986250715,70.56840091957757
CrA,93174.0,90887.0,92953.0,56.70979428467275,60.30275515240922,63.22456993063655
CrA,93174.0,90887.0,90887.0,8.365239156607497e-06,89.9999957607909,89.9999957607909
CrA,93174.0,90887.0,91875.0,5.203960006237114,6.36428489985712,168.4463661534354
CrA,90887.0,93174.0,92989.0,0.1327754791128418,1.4943252115076462,178.37351928005342
CrA,90887.0,93174.0,93174.0,8.365239156607497e-06,89.9999957607909,89.9999957607909
CrA,90887.0,93825.0,93174.0,5.713339961917559,21.973127415043983,152.34952065444065
CrA,90887.0,94114.0,93174.0,13.577685193390844,36.53667378615156,129.97374453427403
CrA,90887.0,94160.0,93174.0,24.75600154208225,50.14073450889968,105.25671530529416
CrA,90887.0,94005.0,93174.0,34.06846560700598,56.626695285049,89.50041524557912
CrA,90887.0,93542.0,93174.0,49.460401201942645,60.21198986250715,70.56840091957757
CrA,93174.0,90887.0,92953.0,56.70979428467275,60.30275515240922,63.22456993063655
CrA,90887.0,94114.0,93825.0,7.864345231478397,70.85668993124784,101.34268663832844
CrA,90887.0,94160.0,93825.0,19.042661580173608,78.2737725978668,82.8319333450605
CrA,90887.0,93825.0,94005.0,28.355125645097328,71.91309821881977,79.93754860743317
CrA,90887.0,93825.0,93542.0,43.74706124003389,58.85793192823142,77.66693261705358
CrA,93825.0,90887.0,92953.0,47.61309637521265,54.58941519049938,78.07365638262596
CrA,93825.0,90887.0,90887.0,6.273929367455621e-06,89.99999658204716,89.99999658204716
CrA,93825.0,90887.0,91875.0,6.758077802405359,12.077624861751564,161.1985420079938
CrA,90887.0,93825.0,92989.0,5.580564483030011,15.250498215491248,159.2012313644934
CrA,90887.0,93825.0,93174.0,5.713339961917559,21.973127415043983,152.34952065444065
CrA,90887.0,93825.0,93825.0,9.2743557084027e-06,89.99999516628473,89.99999516628473
CrA,90887.0,94114.0,93825.0,7.864345231478397,70.85668993124784,101.34268663832844
CrA,90887.0,94160.0,93825.0,19.042661580173608,78.2737725978668,82.8319333450605
CrA,90887.0,93825.0,94005.0,28.355125645097328,71.91309821881977,79.93754860743317
CrA,90887.0,93825.0,93542.0,43.74706124003389,58.85793192823142,77.66693261705358
CrA,93825.0,90887.0,92953.0,47.61309637521265,54.58941519049938,78.07365638262596
CrA,90887.0,94114.0,94160.0,11.178316348695803,77.43262967297936,91.48054941761876
CrA,90887.0,94114.0,94005.0,20.490780413618385,68.43538271009645,91.23123917897573
CrA,90887.0,94114.0,93542.0,35.882716008555725,57.4493734331544,86.90711009249777
CrA,94114.0,90887.0,92953.0,46.58013161375576,46.72506995902252,86.95082266917106
CrA,94114.0,90887.0,90887.0,6.776618231767655e-06,89.99999670673274,89.99999670673274
CrA,94114.0,90887.0,91875.0,10.13818021829558,19.9419700932292,149.97780176049062
CrA,90887.0,94114.0,92989.0,13.444909714512066,28.364914955223924,138.27033379765422
CrA,90887.0,94114.0,93174.0,13.577685193390844,36.53667378615156,129.97374453427403
CrA,90887.0,94114.0,93825.0,7.864345231478397,70.85668993124784,101.34268663832844
CrA,90887.0,94114.0,94114.0,6.776618231767655e-06,89.99999670673274,89.99999670673274
CrA,90887.0,94114.0,94160.0,11.178316348695803,77.43262967297936,91.48054941761876
CrA,90887.0,94114.0,94005.0,20.490780413618385,68.43538271009645,91.23123917897573
CrA,90887.0,94114.0,93542.0,35.882716008555725,57.4493734331544,86.90711009249777
CrA,94114.0,90887.0,92953.0,46.58013161375576,46.72506995902252,86.95082266917106
CrA,90887.0,94160.0,94005.0,9.312464064920563,68.70729079044138,102.05126545386791
